@relation 'NAEP TRAINING DATA SET'
@attribute time {0.3,0.2,0.1}
@attribute VH098519time numeric
@attribute VH098519ETU {0,1}
@attribute VH098522time numeric
@attribute VH098522ETU {0,1}
@attribute VH098556time numeric
@attribute VH098556ETU {0,1}
@attribute VH098597time numeric
@attribute VH098597ETU {0,1}
@attribute VH098740time numeric
@attribute VH098740ETU {0,1}
@attribute VH098753time numeric
@attribute VH098753ETU {0,1}
@attribute VH098759time numeric
@attribute VH098759ETU {0,1}
@attribute VH098779time numeric
@attribute VH098779ETU {0,1}
@attribute VH098783time numeric
@attribute VH098783ETU {0,1}
@attribute VH098808time numeric
@attribute VH098808ETU {0,1}
@attribute VH098810time numeric
@attribute VH098810ETU {0,1}
@attribute VH098812time numeric
@attribute VH098812ETU {0,1}
@attribute VH098834time numeric
@attribute VH098834ETU {0,1}
@attribute VH098839time numeric
@attribute VH098839ETU {0,1}
@attribute VH134366time numeric
@attribute VH134366ETU {0,1}
@attribute VH134373time numeric
@attribute VH134373ETU {0,1}
@attribute VH134387time numeric
@attribute VH134387ETU {0,1}
@attribute VH139047time numeric
@attribute VH139047ETU {0,1}
@attribute VH139196time numeric
@attribute VH139196ETU {0,1}
@attribute VH356862time numeric
@attribute VH356862ETU {0,1}
@attribute BlockRev numeric 
@attribute EOSTimeLft numeric
@attribute SecTimeOut numeric
@attribute HELPMAT8 numeric
@attribute BlockAETU {0,1}
@attribute class {0,1}
@data
0.3, 1.7683333333333333, 1, 0.019999999999999987, 1, 0.21333333333333335, 1, 2.1766666666666667, 1, 2.125, 1, 2.6566666666666667, 1, 1.8583333333333334, 1, 0.025, 1, 1.8933333333333333, 1, 3.295, 1, 0.37833333333333335, 1, 3.0633333333333335, 1, 1.87, 1, 2.2066666666666666, 1, 3.1616666666666666, 1, 2.7216666666666667, 1, 2.305, 1, 4.175, 1, 2.68, 1, 1.1183333333333332, 1, 1, 1, 0, 0, 1, 1
0.3, 1.9766666666666666, 1, 0.5216666666666667, 1, 1.4133333333333333, 1, 0.8233333333333334, 1, 2.195, 1, 2.3333333333333335, 1, 3.2766666666666664, 1, 0.3966666666666666, 1, 1.395, 1, 0.02666666666666657, 0, 1.2983333333333333, 1, 2.7616666666666663, 1, 1.7616666666666667, 1, 1.9416666666666667, 1, 3.865, 1, 2.18, 1, 1.7083333333333333, 1, 1.5366666666666666, 1, 2.1366666666666663, 1, 0.1349999999999999, 1, 1, 1, 0, 0, 0, 1
0.3, 1.9916666666666667, 1, 0.03333333333333333, 1, 0.49499999999999994, 1, 1.745, 1, 0.6816666666666666, 1, 0.5983333333333333, 1, 2.455, 1, 1.4233333333333333, 1, 2.9133333333333336, 1, 2.5883333333333334, 1, 0.03166666666666667, 1, 1.91, 1, 2.9699999999999998, 1, 2.385, 1, 0.028333333333333335, 0, 2.375, 1, 1.7533333333333332, 1, 2.228333333333333, 1, 2.235, 1, 0.16500000000000004, 1, 1, 1, 0, 0, 0, 1
0.3, 1.5033333333333334, 1, 2.4983333333333335, 1, 0.29, 1, 0.435, 1, 2.013333333333333, 1, 3.085, 1, 1.9716666666666667, 1, 2.0966666666666667, 1, 4.198333333333333, 1, 2.45, 1, 0.325, 1, 2.4633333333333334, 1, 0.4683333333333334, 1, 1.465, 1, 3.841666666666667, 1, 4.548333333333333, 1, 2.5116666666666663, 1, 2.006666666666667, 1, 4.101666666666667, 1, 0.32000000000000006, 1, 1, 1, 0, 0, 1, 1
0.3, 2.171666666666667, 1, 3.4016666666666664, 1, 1.5166666666666666, 1, 1.8383333333333334, 1, 1.585, 1, 2.2483333333333335, 1, 0.6833333333333333, 1, 0.44833333333333336, 1, 2.6266666666666665, 1, 2.671666666666667, 1, 0.3133333333333333, 1, 2.243333333333333, 1, 1.715, 1, 2.243333333333333, 1, 4.008333333333334, 1, 3.6366666666666663, 1, 1.7300000000000002, 1, 2.3400000000000003, 1, 2.67, 1, 0.21833333333333335, 1, 1, 1, 0, 0, 1, 1
0.3, 3.9949999999999997, 1, 0, 0, 0, 0, 0, 0, 1.7950000000000002, 1, 3.9366666666666665, 1, 6.175, 1, 0, 0, 1.7666666666666666, 1, 2.0783333333333336, 1, 0.40166666666666667, 1, 2.716666666666667, 1, 0, 0, 0.003333333333333351, 0, 0.08166666666666664, 1, 5.6033333333333335, 1, 2.996666666666667, 1, 2.9016666666666664, 1, 3.2183333333333333, 1, 1.165, 1, 0, 0, 1, 0, 0, 1
0.3, 2.775, 1, 0.36000000000000004, 1, 2.1, 1, 1.1416666666666666, 1, 1.5783333333333331, 1, 1.9033333333333333, 1, 2.2616666666666663, 1, 0.5166666666666667, 1, 2.106666666666667, 1, 0.77, 1, 0.2816666666666666, 1, 2.1766666666666667, 1, 1.6833333333333333, 1, 1.8033333333333335, 1, 3.445, 1, 3.2233333333333336, 1, 0.35666666666666663, 1, 2.2, 1, 2.1766666666666667, 1, 1.2133333333333334, 1, 1, 1, 0, 0, 1, 0
0.3, 2.45, 1, 0, 0, 0, 0, 0.0016666666666666607, 0, 1.0, 1, 5.5, 1, 4.156666666666667, 1, 0, 0, 1.6016666666666666, 1, 2.783333333333333, 1, 0.9816666666666668, 1, 2.3766666666666665, 1, 0, 0, 1.95, 1, 3.493333333333333, 1, 3.105, 1, 2.5383333333333336, 1, 5.786666666666666, 1, 2.953333333333333, 1, 1.145, 1, 0, 0, 1, 0, 0, 1
0.3, 3.5866666666666664, 1, 0, 0, 0, 0, 0, 0, 0.26666666666666666, 1, 3.103333333333333, 1, 2.091666666666667, 1, 0, 0, 1.5533333333333335, 1, 0.06333333333333331, 1, 1.7866666666666664, 1, 3.0933333333333333, 1, 0, 0, 0, 0, 4.791666666666667, 1, 0, 0, 3.1483333333333334, 1, 2.2883333333333336, 1, 0.0016666666666666904, 0, 0.08666666666666666, 1, 0, 0, 1, 0, 0, 0
0.3, 2.4233333333333333, 1, 0.0, 0, 0.25500000000000006, 1, 1.6783333333333335, 1, 1.965, 1, 3.4633333333333334, 1, 2.921666666666667, 1, 0.25666666666666665, 1, 2.183333333333333, 1, 3.3383333333333334, 1, 1.4316666666666669, 1, 2.433333333333333, 1, 1.9833333333333334, 1, 1.99, 1, 3.65, 1, 4.223333333333334, 1, 4.995, 1, 0.6616666666666667, 1, 3.9316666666666666, 1, 0.19666666666666663, 1, 0, 0, 1, 0, 0, 1
